number of bedrooms,number of bathrooms,living area,lot area,number of floors,Area of the basement,living_area_renov,lot_area_renov,Distance from the airport,Price,condition of the house
2,1,790,11234,1,0,1930,11871,62,250275,4
3,2,1260,8092,1,0,1950,8092,63,242000,3
2,1,670,10920,1,0,900,7425,65,240000,3
3,1.75,1670,6900,1,500,1740,7000,56,239950,3
2,1,1080,9435,1,0,1200,9210,59,230000,3
3,1,1130,12519,1,0,1460,12507,55,220000,3
2,1.5,1820,8867,2,0,1430,9288,68,206000,3
3,1,1080,8580,1.5,0,1800,12672,80,192500,3
1,1,720,4800,1,0,1240,4860,80,190000,3
3,2.25,1990,6350,2,0,1220,6250,68,180000,3
2,1,660,5000,1,0,1000,5000,78,175000,3
6,1,1370,5080,1.5,250,1020,5080,63,175000,3
5,4.75,5990,10450,2,1940,3330,14810,79,2200000,3
5,3,3880,13000,2,0,3470,13701,61,1820000,3
4,3.25,3620,5131,2,1270,2550,5174,62,1530000,4
3,3.5,3870,3819,2,1110,2530,5500,62,1440000,3
4,2.5,2440,3600,2.5,0,2440,5440,50,1330000,4
4,4.5,4750,13912,2,1150,3600,22124,52,1310000,3
4,3.5,3820,13224,2,540,3340,9700,59,1240000,3
5,3,3330,19126,2,720,3330,16893,60,1190000,4
5,3.5,3990,9938,2,0,3490,11734,66,1070000,3
3,2.5,2430,10500,2,0,3440,12842,69,1030000,3
2,2.5,2540,7089,2,0,1330,7089,72,945000,3
5,2,3530,9385,1.5,0,4100,9203,70,930000,3
4,2.5,3280,209088,2,0,2460,39498,64,925000,3
4,2.25,2370,6000,1,930,3280,8843,79,899000,3
2,1.75,1590,5136,1.5,270,2520,5243,80,850000,3
3,3,3910,19023,2,0,1860,15001,56,805000,3
4,2.5,2590,7910,2,0,1700,7488,74,799000,3
4,2.75,3010,15992,2,0,3330,12333,60,775000,3
3,2.5,2650,40705,2,0,2550,42625,69,770000,3
4,2.25,2160,5600,1,1080,1850,5150,64,756000,5
3,3.5,3390,10078,2,350,3290,12332,64,750000,3
4,2.5,2650,6884,2,0,2520,5866,64,734990,3
3,2.5,2320,6775,1,0,1680,4750,57,728050,3
4,2.5,2440,34290,2,0,2860,38119,63,720000,3
3,2.75,3200,6699,2,0,3020,6699,54,712000,3
3,2,1360,5980,1.5,0,1520,4440,60,703000,3
6,2,1670,3000,1,770,1330,1099,79,680000,5
4,2.5,2496,8058,2,0,2496,7757,64,661000,3
4,3,2620,18362,1,750,2630,16792,72,659500,4
4,2.5,2310,4079,2,0,1220,4800,51,646000,3
4,2.5,2270,9247,1,770,2270,9163,62,619850,5
4,3.25,2520,3360,1.5,970,1730,3360,64,618250,4
3,3.25,1530,1612,3,0,1530,1611,78,607500,3
3,2,2540,237402,1,0,2200,229125,62,600000,3
4,2.25,3070,8400,2,0,1880,8000,68,600000,4
3,1.5,1470,7200,2,0,1530,7200,51,590300,4
4,2.5,2840,11044,2,0,1934,9605,70,585000,3
4,2.25,2160,9593,1,0,2820,9628,51,580000,3
3,2.5,1940,9000,1,970,2190,7310,61,576000,4
4,2.25,2060,10358,1,740,2060,9676,58,558000,4
4,1.75,1290,3060,2,0,1510,4080,51,549000,4
3,2.25,1240,949,3,0,1310,1140,64,543000,3
5,3.75,3090,7415,2,0,2790,7425,54,540500,3
3,1.75,1940,219527,1,0,2060,108900,57,520000,3
3,2.75,2020,10744,1,750,2020,11069,55,519000,5
4,2.5,2610,8031,2,0,2320,8031,74,510000,3
3,2.5,2120,7201,2,0,1930,7206,70,507000,3
2,1,1570,8210,1,420,1680,8196,57,506000,4
3,2.5,1610,4611,2,0,1730,4461,54,505000,3
3,2.5,2840,48716,1,970,2710,43676,51,500000,3
3,1.75,1840,5000,1,920,1220,5000,78,499000,4
3,2.25,1820,7326,2,0,2430,7696,66,489950,3
3,2.5,950,1110,2,0,1230,1215,60,475000,3
3,2,1730,38884,1,0,2130,91040,77,470000,3
3,1,1320,3625,2,0,1660,5438,51,464000,3
3,1.75,1610,11200,1,0,1610,11200,56,450000,3
4,2.5,2400,7693,2,0,2400,8038,73,450000,3
3,1.75,1170,8740,1,0,1870,8448,65,440000,4
2,1.75,1440,4225,1,0,1680,6200,54,437000,3
2,1,790,6600,1,0,1520,4400,76,436000,3
3,1.75,1310,8065,1,0,1420,8100,74,435000,4
4,2.5,2640,8625,2,0,2240,8700,74,429900,3
6,2.75,2520,9324,1,1200,1820,11000,53,410000,4
2,1,1260,4377,1,0,1420,6376,77,405000,4
4,1,1940,5753,1.5,0,2170,6075,61,401000,3
4,2.25,1820,8255,1.5,500,1550,7628,77,399888,4
4,1,1980,10350,1,550,1890,13140,55,395000,4
3,2.25,1600,10240,1,510,1520,9394,53,390000,3
3,1.75,2310,11200,1,680,2350,13300,63,385000,4
4,2.25,2150,20181,1,1060,2150,10480,70,380000,3
3,2.5,2160,3000,1.5,900,1060,3500,78,378750,3
3,2.5,1800,2700,2,0,1380,1200,68,362500,3
4,2.5,2850,4650,2,0,2850,4650,74,360000,3
3,2,1430,6000,1,0,1630,6315,77,352450,5
2,1,1620,9205,1,770,2460,5469,50,350000,5
3,2,2140,7200,1,660,2070,7220,61,346150,4
3,2.5,2480,6112,2,0,3220,6727,76,340000,3
4,2,2030,103672,1,0,1560,325393,57,335000,4
3,2.5,2238,7209,2,0,2456,7212,57,330000,3
4,2.5,3490,5000,2,0,2910,5025,58,320000,3
2,1,920,8341,1,0,2330,9792,78,319950,3
3,1.75,1900,3000,1.5,830,1130,6000,65,311000,5
4,1.5,1220,9600,1,0,1180,9000,74,310000,3
3,2,1300,11374,1.5,0,1480,9670,78,287000,5
3,1,1210,4731,1.5,0,1450,5264,74,285000,3
3,2,1790,42399,1,0,1330,40015,60,280000,4
3,1.75,1860,15681,1,0,1860,22979,56,275000,4
4,1.75,1530,8750,1.5,0,1390,8750,50,269900,4
3,1.75,1840,7300,1,0,1920,8010,63,265000,3
3,1,1050,8498,1,0,1050,8498,59,249000,4
4,2,2080,13510,1,1040,2010,11625,56,248000,3
4,2,1790,14690,1,120,2440,10664,78,240000,4
3,1.75,1750,11461,2,0,2140,11276,67,232603,4
3,1,1320,8450,1,440,1320,8450,65,232500,3
3,2.25,1640,7350,1,500,1480,8041,55,221000,3
3,2,1440,7210,1,0,1700,7245,56,210000,3
3,1.5,1140,8340,1,0,1140,8340,55,200000,3
3,1,1330,5412,2,0,1710,10825,50,197500,5
3,2,1340,4320,1,420,980,6480,59,186000,3
3,1.75,1150,8079,1,0,1540,7399,74,177000,4
2,1,990,39964,1,0,1560,8990,70,120000,2
6,4.5,5480,10800,2,1050,2970,7200,77,2400000,4
3,2.25,3230,17833,2,0,3690,17162,76,2110000,4
7,3.5,4640,15235,2,1780,3230,20697,66,1950000,3
5,3.25,3840,4800,3,1090,2060,4800,70,1460000,3
4,2.25,2870,6280,1.5,890,2370,4760,75,1330000,4
4,3.5,4410,36200,2,0,4760,35860,75,1320000,3
5,4,3366,7800,2.5,400,2340,6000,54,1300000,3
7,5.5,6630,13782,2,1700,4470,8639,64,1240000,3
5,3.25,3240,6551,1.5,740,2740,9300,63,1230000,4
6,4.25,6900,244716,2,2080,4170,266587,58,1140000,4
3,3,4910,43560,2,910,3540,12288,75,1080000,4
4,4.5,3850,13551,2,850,3480,10737,79,995000,3
3,1.5,1700,14133,1,0,2630,17376,68,979000,4
3,2.75,2470,10125,2,0,2290,10125,75,970500,3
4,2.5,3360,11548,2,0,3400,14091,70,950000,3
3,3.25,3050,18892,1,1400,1170,70973,71,950000,4
4,2,3140,10437,1,1100,2010,10437,56,925000,4
4,2.75,3730,8014,2,0,3670,8279,54,925000,3
3,3.25,2660,4000,2,490,2660,4000,53,915000,3
4,3.5,2970,14486,2,630,3680,14486,63,905000,3
3,2.25,2060,9552,1,450,2930,11212,70,885000,4
4,3,3740,30884,2,680,3240,37031,73,869000,3
3,2.25,2870,8170,2,620,1310,8170,56,850000,3
5,2.25,2780,10192,2,0,2740,9900,72,830000,4
3,3.25,3240,8338,2,0,3420,8405,76,812000,3
4,2.75,3150,7035,2,0,3200,7035,58,800000,3
4,1.75,2050,10920,1,600,2440,10920,76,790000,3
3,2.25,2140,3000,2,0,1430,4712,50,780000,3
4,2.5,2970,4400,2,0,3010,4892,54,775950,3
2,2.5,2770,7781,2,0,1870,5984,66,754800,3
4,3.25,3940,27591,2,500,3420,29170,77,725000,3
6,1.75,2380,4080,2,0,2030,4080,54,725000,3
3,3.5,3690,8837,2,0,3690,9585,58,725000,3
4,2.5,3290,6628,2,0,3240,5831,65,715000,3
5,2.75,3260,11700,1,1630,2860,11700,63,681500,3
4,2.25,2870,5453,2,650,1660,4800,55,665900,4
4,3.25,3030,9273,2,0,2360,7632,57,660000,5
3,3.25,1530,1565,2,250,1530,1381,80,654000,3
4,2.5,3040,6587,2,0,2740,6587,79,650000,3
2,1.75,1760,4400,1,880,1330,4180,51,640000,4
4,2.5,2090,10306,2,0,2660,11481,53,632500,3
3,2.5,2440,4800,2,0,1180,5480,76,625000,3
3,2.5,1850,7777,2,0,1850,8482,58,623000,5
4,2.5,2620,7553,2,0,2620,11884,77,605000,3
2,1,1040,3600,1,0,2250,4800,70,600000,4
3,2.75,3290,22649,2,0,2750,6119,74,595000,4
3,3.5,1890,1710,2,250,1680,1562,71,587206,3
4,2.75,3260,4900,2,0,3260,6132,79,565000,3
5,2.5,2200,4080,1.5,780,1300,4080,59,547000,5
3,2.25,1750,1879,3,0,1750,3155,53,525000,3
4,1,1360,6000,1.5,0,1710,6000,60,511500,3
4,2,2120,11479,1,1060,1540,11000,76,489000,4
4,2.25,2170,9665,1,870,2170,12054,79,488800,4
4,3,1630,6250,1,520,1630,8082,54,482500,5
4,1,2080,5500,1,1040,1280,4000,51,480000,3
3,1.75,1780,8085,1,570,1780,8085,58,477000,3
3,2.5,1870,5013,2,0,2040,5555,73,458000,3
3,1.5,1440,28516,1,0,2080,27049,79,456000,4
3,2.25,1470,4653,2,0,1560,4119,78,455000,4
4,2.25,2450,21000,1,800,1820,12480,52,455000,4
3,2,1430,3480,1,450,1450,4650,50,450000,3
4,2.5,2510,6853,2,0,3400,6965,63,448000,3
4,2.5,2040,21781,2,0,2410,21781,53,443500,3
3,2.75,1910,7280,1,750,1710,8152,63,441000,3
5,3,3110,12429,1,1320,3050,11902,60,436500,3
3,2.5,2540,5612,2,0,2380,6303,64,425000,3
3,2.25,1790,10209,1,500,1840,9900,55,425000,3
5,2.75,2280,10319,1,980,2370,8056,74,420000,3
5,3,2630,3149,2,960,2240,4825,67,420000,3
2,1,1260,3960,1,570,1250,3960,59,412000,3
3,1,1460,10000,1.5,0,1910,10000,80,405000,3
3,1,1430,10005,1.5,0,1720,8822,70,400000,4
4,1.75,2670,189486,2,0,2190,218610,59,400000,3
4,2.25,2420,7927,1,1020,2120,7693,57,400000,4
4,2.5,2320,11717,2,0,2320,9714,70,397000,3
3,1,1500,4000,1,600,950,4000,65,395000,3
3,1,1160,3750,1.5,0,1530,3750,55,390000,3
3,1.5,1520,4288,1,500,1660,4288,74,380000,3
4,2.5,1890,12236,1,660,1390,11360,77,378000,3
4,2.5,2550,4770,2,0,2380,4590,68,371000,3
3,2.25,1940,11612,1,840,2180,8954,58,359950,4
5,2.25,2290,7420,1,1000,1660,7526,62,359900,3
4,2.5,2040,8265,2,0,2160,8265,53,355000,3
2,1,1240,10800,1,240,2140,20059,64,355000,3
3,1.75,1880,11249,1,550,1870,14547,80,340000,3
3,2.5,2570,4600,2,0,2570,5000,75,339990,3
4,3,2240,8504,2,0,1570,8460,54,337000,3
3,2,1510,7884,1,0,1050,7620,68,332000,3
3,2.25,1860,11227,2,0,1820,8800,52,330000,3
3,2.5,1820,8085,2,0,1860,8625,75,329950,3
2,1,840,4239,1,0,1120,4494,73,325000,3
3,1.5,1860,60960,1,720,2170,82764,75,291000,4
4,2,1890,6302,2,0,1690,5369,73,282000,3
3,2,1470,8089,1,0,1530,7721,60,280000,3
4,2,2200,7700,1,1100,1790,7700,58,279000,3
4,1,1810,7500,1,400,1250,6255,54,264950,2
1,1,800,16306,1,120,1270,8666,53,250000,2
1,0.75,380,15000,1,0,1170,15000,56,245000,3
3,1,1300,8160,1,0,1290,8970,76,237000,4
2,2,1310,2841,2,0,1360,2550,55,218000,3
4,2.5,1960,11600,1,980,1160,7685,54,215000,5
2,2,1680,5756,2,0,1340,5447,67,210000,4
3,1,960,7314,1,0,990,7314,75,205000,5
3,1,1150,7156,1,0,1210,7156,69,203000,4
3,2.25,1230,7420,1.5,0,1260,7556,73,200000,5
2,1,860,6600,1,0,1030,6732,73,200000,5
2,1,1020,5130,1,0,1200,6497,78,175000,4
3,2.5,2200,20000,1,800,3050,11775,64,1100000,3
3,2.5,3290,6830,2,0,3200,6227,80,930000,3
4,2,2160,6300,1.5,0,1980,5152,75,849000,4
3,1.75,2610,5544,1.5,930,1330,5074,69,750000,3
4,2.25,2330,8994,2,0,2330,8396,70,639500,3
4,1.75,1780,2788,1,890,1760,5664,61,442900,4
4,1.5,1550,9176,1,550,1730,8539,57,418000,3
2,1,1230,1820,2,400,1660,3056,76,375000,4
4,3.5,3530,14406,2,960,3170,15181,68,874150,3
4,2.5,2810,10613,2,0,2800,9933,62,810000,3
3,1.75,2870,5000,1.5,1030,2200,5000,66,802000,4
4,2.5,2130,7300,1,900,2130,7560,72,732600,4
4,2.5,2370,10083,2,0,2370,10133,79,687000,5
2,1.75,1330,6000,1,370,1620,6000,62,565000,4
4,2.5,2090,6023,2,0,2090,6023,69,545000,3
4,2.5,2040,8400,1,620,2540,8925,51,500000,3
2,2.25,1490,6770,1.5,0,1820,7875,76,480000,3
3,2.5,2050,40003,1,480,2700,46769,68,439500,4
4,2.5,2580,6260,2,0,2160,3600,69,374000,3
4,2.5,2380,13550,2,0,1230,9450,70,330000,3
3,4.5,5230,17826,2,1490,3670,17826,64,3400000,3
4,3.5,4230,20377,2,0,3980,20489,80,2080000,3
3,2.75,2810,18731,2,0,3120,14810,58,1700000,4
4,2.5,4570,74487,2,0,3810,74487,63,1580000,5
3,2.5,2190,11394,1,640,2190,9540,66,1290000,3
4,3.75,3520,3944,1.5,1320,2310,4725,75,1220000,5
4,2.5,3160,13194,2,0,3490,13194,66,1190000,5
4,3.25,3440,7661,2,0,3580,6478,73,905000,3
5,3.5,3500,10155,2,930,2940,10753,70,905000,3
3,1,1480,6978,2,0,2660,13062,68,899000,4
4,2.5,3030,29163,2,0,2780,40669,55,835000,3
5,2.5,4470,35124,2.5,0,4050,34118,51,831500,3
4,2.5,2500,206474,1,0,3680,208652,69,806000,3
3,2.25,2380,11824,1,930,2750,11491,74,800000,4
4,3,3520,4895,1,1540,1570,2153,70,800000,3
4,3.5,3910,59863,2,1420,2830,37674,60,780000,4
4,2.5,2300,6158,2,0,2170,6434,79,775000,3
3,2,1820,5000,1.5,100,2220,7200,64,750000,4
4,2.25,2270,5102,1,930,1800,5102,71,735000,5
3,1.75,1610,8613,1,0,2010,8670,61,725000,5
4,2.5,3420,30410,2,0,2940,45916,54,725000,3
4,2.5,2650,30500,1,970,2650,30500,77,715000,4
2,1,970,4560,1,0,1500,4560,71,690000,4
2,1.5,1300,1676,1,0,1260,1740,74,685000,3
4,2.5,2810,11120,2,0,3100,12672,77,675000,3
3,2.5,3310,5300,2,870,2140,7500,68,670000,3
5,3,3190,7081,1,1300,2270,7623,64,664950,3
3,3.25,1980,2850,3,0,1630,4560,72,660000,3
4,2.5,2400,7351,2,0,2330,7756,55,650000,3
3,2.5,1500,1375,2,300,1680,1627,52,649950,3
2,1.75,2260,280962,2,370,2860,219542,77,649000,3
4,3.5,2960,6000,2,0,2960,6000,66,633634,3
5,2,2130,4180,1.5,860,1710,4180,78,615000,5
6,2.75,2660,8400,1,1110,2280,8400,78,603500,5
3,2.5,2260,10153,2,0,2740,10153,70,600000,3
4,2.5,3220,7875,1.5,0,1600,7875,56,590000,4
3,2.5,1640,1269,3,0,1590,1231,65,579000,3
3,2.5,2060,5750,1,730,1920,5750,51,577000,3
4,2,1730,3884,1,670,1360,3563,75,569000,5
3,2.25,1300,907,2,300,1300,1169,62,562500,3
3,2.5,1960,12476,2,0,2450,12177,73,560000,4
4,2.5,2300,7989,2,0,2280,8835,73,560000,3
3,2.5,1900,3255,2,0,1880,3350,58,550000,3
3,1.75,1840,8086,1,0,1840,8060,77,550000,4
2,1,1080,3500,1,0,1790,4000,58,525000,3
5,3.25,2910,5027,2,870,2910,5027,77,515000,3
6,2.5,2890,8122,1,1260,2730,9915,59,502000,3
3,1,1150,5100,2,0,1440,5100,79,500000,3
3,2.25,1630,3817,2,0,1630,3348,57,497000,3
3,2,2950,12196,2,640,2320,19844,51,495000,4
4,2.5,1830,7345,1,290,1990,7700,57,494000,4
4,2.5,1540,1860,2,0,1210,1090,61,491234,3
3,2.25,1470,2500,2,390,1640,4300,60,490000,3
3,2.25,2110,11319,2,0,1860,11319,58,479000,4
3,1.75,1800,6000,1,900,1800,3000,76,471001,5
3,2.5,2150,8221,2,0,2490,7951,69,470000,3
5,2.5,3390,9760,1,1640,2360,9600,80,460000,5
4,2.5,2000,6107,2,0,2040,6520,64,459950,3
3,2,1890,1599,2,460,1780,1562,66,458500,3
4,1.75,2120,50965,1,1060,1540,7420,54,453000,4
4,1.75,2160,4333,1,900,1670,4426,80,450000,4
3,2.25,1780,7280,1,440,2060,7280,56,449500,3
4,2.5,1850,5040,1,620,1010,5040,50,449000,3
2,1,2550,21675,1,940,2030,10591,76,446000,4
3,1.75,1600,10280,1,550,1590,8100,62,442500,3
4,2.5,2520,7253,2,0,2570,8359,50,442000,3
3,1.75,1560,7207,1,310,1540,7485,58,440000,3
2,1.5,950,4625,1,0,1440,4625,76,430000,4
3,1.75,1300,12731,1,0,1700,13556,73,430000,3
2,1,880,6413,1,0,1360,6413,72,425000,3
3,2.25,1580,39189,1,400,1580,29649,79,425000,3
3,2,1200,5029,1,320,1510,5854,71,420000,3
4,2.5,2170,8518,1,820,1880,7680,54,415000,3
2,1,860,2599,1,0,1300,3900,80,405000,4
3,2.25,1520,1245,3,0,1520,1470,50,405000,3
3,1,1830,8004,1,630,1860,7971,80,403500,3
2,0.75,1020,1350,2,0,1020,2007,80,402101,3
4,1.75,1700,20283,1.5,360,1680,21369,70,400000,3
3,1.75,1560,5223,1,750,1440,8491,56,399950,4
3,1.75,2390,7149,1,1040,1710,7402,69,396500,3
3,1.75,1880,12821,1,0,1540,12868,60,389800,3
3,3.25,1630,1677,3,0,1220,1677,58,385000,3
4,2.75,2700,37011,2,0,2700,37457,60,385000,3
4,2.5,1870,7471,2,0,2020,8912,61,375000,3
4,2,1940,25600,1,0,2000,10071,67,365000,1
2,1.5,940,1768,2,0,1130,1159,55,362500,3
3,2.5,2430,15264,2,0,2260,10416,57,362300,3
4,1.5,1720,6417,1,0,1430,6240,64,360000,3
7,3,2800,9569,1,1400,2150,7333,62,350000,3
3,1.75,1660,10150,1.5,0,1640,8906,58,350000,3
3,2,2420,38781,1,1210,2650,88426,59,349900,5
3,1,1270,8400,1,0,1390,8400,78,347000,3
3,1.75,1270,8100,1,390,1650,8173,79,346000,3
3,2.5,2110,4118,2,0,2110,4044,79,345950,3
3,3.75,1950,8625,1,590,1950,6670,66,345100,3
3,1,1140,4200,2,0,1510,4000,66,345000,4
3,1.5,1420,1192,2,280,1340,1213,58,345000,3
3,1.75,1310,12750,1,0,1790,13500,73,337000,3
1,1,720,5100,1,0,1320,5100,54,335000,3
4,1.5,1150,9360,1.5,0,1480,8155,58,334000,3
3,2.5,2242,4995,2,0,1798,4942,72,329900,3
3,1,1030,9834,1,0,1210,9875,61,326000,3
4,1.75,2110,7208,1,940,1820,7208,66,324000,3
4,2.25,2010,19000,2,0,1950,19626,51,322200,4
3,2.5,2280,7417,2,0,2370,6443,52,320000,3
4,1.5,1890,43560,1,0,2376,5820,68,320000,4
5,3,2300,8214,2,0,2594,4950,63,312891,3
3,2.5,2540,4775,2,0,2270,5000,50,310000,3
4,2.5,2620,4469,2,0,2250,4500,61,300000,3
4,2.5,1840,5550,2,0,2030,5500,76,300000,3
2,1,1060,7200,1,0,1850,8291,76,299995,4
3,1,880,9238,1.5,0,1170,9238,52,291500,5
2,2,1610,17600,2,0,1310,12950,75,290900,3
3,1,1150,8145,1,160,1200,8145,75,290000,4
3,2.75,1100,750,2,320,1170,4800,61,286000,3
3,2.5,1660,6263,2,0,2190,6192,64,285000,3
2,1,1010,3000,1,0,1150,7000,54,280000,4
2,1,1180,6552,1,0,1070,7200,65,275000,4
3,1,1080,6000,1,0,1200,7210,60,275000,4
4,2.5,2540,8400,2,0,1600,8050,52,269950,5
3,1.75,1840,7412,1,600,1980,7350,50,269500,4
3,1,1620,9450,1.5,0,2070,11970,69,265000,3
3,1.75,1760,7482,1,0,2000,7500,74,264000,4
3,1.75,1390,18200,1,0,1810,9675,59,261350,4
4,2.5,2000,37045,2,0,2390,36868,70,260000,3
3,2,1310,6738,1,0,1290,8067,54,249900,4
2,1.75,1500,8645,1,0,1220,8645,68,249500,4
3,1,1000,19204,1,0,2450,25927,57,249000,3
3,1.75,1230,9600,1,0,1330,8250,58,239950,4
3,1,1170,11100,1,0,2080,8481,77,235000,4
6,3,2180,7956,2,0,2214,7684,72,235000,3
4,1.75,1450,8891,1.5,270,1450,9013,77,235000,3
2,1,870,11100,1,0,1370,10404,62,234000,3
3,2.25,1650,2958,2,0,1510,3788,64,233500,3
3,1,1530,389126,1.5,0,1768,42148,75,230000,4
3,1.75,1580,8820,1,0,1280,8500,79,225000,4
3,2,1340,8505,1,0,1370,9000,70,215000,3
2,1,880,6780,1,0,1190,6780,79,205425,4
3,1.5,1090,9600,1,0,1240,9620,70,200000,4
5,2.5,1740,8750,1,0,1740,8750,70,199950,4
3,1,1200,13100,1,0,1960,11285,77,165000,3
3,1.5,1270,2356,2,0,1490,2175,74,160797,3
4,5,4550,18641,1,1950,4550,19508,52,3080000,3
5,2.75,3831,13800,2,0,3850,36563,67,2700000,3
5,4.75,6390,13180,2,1830,4010,8137,76,2470000,3
4,2.5,3220,15600,1,1540,2990,15600,73,1250000,5
4,3.75,3820,53574,1,0,3140,54014,79,1220000,3
3,2.5,2740,5925,2,0,2740,5948,61,1160000,3
2,2,1460,9052,1,0,2554,7834,54,1010000,5
4,2.25,2420,10200,2,0,2390,10200,64,998000,4
3,2.25,3060,9950,1.5,1250,4950,10655,62,970000,4
4,1.75,2320,3825,1.5,500,1940,3825,64,941000,5
4,3,3580,35261,1.5,0,3540,36750,57,925000,3
4,2.5,3030,3841,3,0,1080,4922,55,880000,3
4,2.5,3220,22588,2,0,3220,22922,73,875000,3
4,2.25,3550,13900,1,1720,2770,12200,76,859000,3
4,3.5,3920,37122,2,0,2550,32647,53,850000,3
4,3,3330,4000,1,1540,1610,4000,64,850000,3
3,2,2540,4750,1.5,700,2190,4750,75,845000,5
3,2.5,3200,203425,1,0,3200,203425,70,839000,3
3,3.5,2130,6150,2,600,2040,5381,72,819000,5
4,3.5,3190,31450,2,0,3000,72745,76,790000,3
4,2.75,2610,8760,1,850,2550,10376,53,762500,4
4,3.25,3090,9571,2,720,3630,9110,73,751000,3
4,2.5,2440,4850,2,0,2970,5450,65,745641,3
4,2.5,2650,18295,2,0,2230,19856,77,725000,3
3,1.75,2200,9840,1,700,2410,9623,70,689000,5
4,1.75,2330,5000,1.5,820,1460,5000,64,687500,4
3,1.5,1820,5756,1.5,180,1760,6169,55,683500,3
3,3.5,2300,5611,1,0,2170,5926,60,675000,3
6,2.75,2840,8346,1,1420,2250,8346,67,665000,5
2,2.25,2550,6000,2,690,2010,4000,61,660000,5
4,2.5,2341,9594,2,0,2850,9421,60,640000,3
4,2.5,2050,2772,2,0,2050,2934,66,639888,3
2,1,1130,2640,1,0,1680,3200,63,631500,4
3,2.5,2410,64073,1,590,2980,48760,79,625000,4
4,2.5,2450,55387,2,0,2730,38827,52,620000,3
2,1,1270,5000,1,180,1640,5000,64,615000,3
3,1.75,1720,4080,1,760,1660,4080,61,615000,4
4,1.75,1740,7700,1,0,1740,8120,59,600000,5
4,3.25,4690,14930,2,1010,2910,13320,77,600000,3
5,2.75,2730,22572,1,650,2260,15458,61,599000,3
4,2.5,3190,8195,2,0,3400,7607,54,589950,3
3,2.5,2270,100545,2,0,1277,100545,74,585000,3
4,2.5,4620,20793,2,0,3640,20793,59,575000,4
3,2.25,2400,5000,1.5,960,1630,5000,68,575000,4
2,1,2034,13392,1,875,1156,15961,64,549000,5
3,2.5,2070,4132,2,0,1530,5606,63,535000,3
2,1.5,1580,3680,1,300,1730,3680,65,530000,3
3,1.75,2300,35722,1,0,2600,34798,55,520000,3
4,2.75,2520,14021,2,0,2330,14007,69,518000,3
3,2.25,1420,1309,3,0,1500,1282,73,510000,3
3,2,1300,14350,1,0,1520,10670,70,502000,3
3,2.5,1500,5412,1,600,1090,5412,58,485000,5
2,1.75,1240,3000,1.5,0,1800,4080,50,483000,3
3,1.75,1150,10466,1,0,1350,10384,60,464500,5
3,2.25,1430,2003,2,450,2210,4000,69,457500,3
4,2.5,2950,4502,2,0,2360,4502,66,455000,3
2,1.5,1200,1259,2,200,1320,1852,72,455000,3
4,1.75,1250,7400,1,0,990,7600,56,445000,5
3,1.75,2000,9900,1,520,2310,10200,75,440000,4
3,1.75,1520,6380,1,730,1520,6235,64,438000,3
4,2.5,1890,8505,1,600,1720,9600,74,437000,3
3,2.5,1930,4500,2,0,1770,4500,53,425000,3
4,1.5,1600,6180,1.5,0,1410,6180,73,425000,3
3,2.5,2140,3821,2,0,2860,3841,66,420000,3
3,1.75,1070,8000,1,0,1200,7990,53,415000,3
3,2.5,2280,6031,2,0,2430,7200,66,415000,3
3,2.5,3170,12750,2,810,2970,13125,68,405000,3
3,2.75,1310,7300,1,0,1310,7030,57,405000,3
3,1,1410,8053,1,0,1170,8042,73,405000,4
3,2,1230,11413,1,240,1570,11517,56,400000,3
3,2.5,2970,23100,1,1460,2390,20300,80,400000,3
3,2.5,2590,18980,1,0,3110,14652,69,396500,4
4,1.75,1540,5120,1,770,1080,5120,76,395000,5
3,2.5,1600,1936,2,0,1600,1936,77,395000,3
3,2.25,1860,15559,2,0,1110,11586,59,380000,4
3,2.5,1740,30886,2,0,1740,39133,71,379000,3
3,1,1660,11783,1,500,1320,10541,65,367500,4
3,1.75,1840,11440,1,500,1940,11440,66,366000,4
4,1.75,1450,8450,1,0,1540,8450,68,362500,3
3,1.75,1500,7200,1,0,1650,7392,76,360000,3
3,1.5,1810,100188,1,0,1540,40415,60,358000,5
2,2.25,930,747,2,300,940,6000,80,355000,3
2,1,740,7680,1,0,1080,7680,62,350000,4
4,3,2560,5606,2,0,2667,7334,64,350000,3
4,2.5,2090,5289,2,0,2080,7109,51,349950,3
3,1.5,1360,10726,1,0,1650,10726,64,348500,4
4,1.75,1760,6204,1,580,1990,6240,62,343500,4
2,1.75,1210,7507,1,0,1840,7500,67,342500,3
4,2,2470,5080,1.5,500,1060,5080,74,339000,3
3,1,1100,4128,1,380,1510,4538,79,339000,4
3,1,1480,7284,1,510,2020,7920,59,336500,3
2,1,900,5220,1,0,1480,6660,63,329950,4
2,1.5,830,1119,2,0,1480,3622,78,329445,3
3,1,850,6906,1,0,1150,6907,66,325000,3
3,1.5,1460,8710,1,0,1400,8645,61,324950,3
4,2.5,2510,7992,1,900,2030,7992,51,319000,3
5,2.5,2360,11375,1,1180,1160,7800,66,317000,4
4,1.75,2700,27072,1,1320,2460,34850,77,314900,3
4,2.25,2210,9371,2,0,2300,11584,69,305000,4
4,2,1310,8454,1,0,1320,8274,51,304000,4
3,1,2150,7007,1,0,1720,9000,59,300000,3
2,1,750,5120,1,0,930,7200,64,300000,4
2,1,650,5400,1,0,1310,4906,50,295000,3
